,testi1;testi2;testi3;testi4;testi5;testi6
0,312978;134;-312710;-625554;-938398;-1251242
1,34958;234;-34490;-69214;-103938;-138662
2,-243062;334;243730;487126;730522;973918
3,-521082;434;521950;1043466;1564982;2086498
4,-799102;534;800170;1599806;2399442;3199078
5,-1077122;634;1078390;2156146;3233902;4311658
6,-1355142;734;1356610;2712486;4068362;5424238
7,-1633162;834;1634830;3268826;4902822;6536818
8,-1911182;934;1913050;3825166;5737282;7649398
9,-2189202;1034;2191270;4381506;6571742;8761978
10,-2467222;1134;2469490;4937846;7406202;9874558
11,-2745242;1234;2747710;5494186;8240662;10987138
12,-3023262;1334;3025930;6050526;9075122;12099718
13,-3301282;1434;3304150;6606866;9909582;13212298
